
Drops: Simon Muran - B-POW, C-POW, D-POW, D-TEC, C-TEC, B-TEC (Original)
009,4.78
016,2.78
019,0.29
024,1.41
047,1.41
048,1.41
058,1.46
102,0.68
105,2.78
123,2.78
130,2.78
137,2.78
167,2.73
192,2.73
197,2.73
202,2.73
237,2.73
238,0.68
289,2.73
301,0.97
333,1.95
387,2.73
397,2.73
402,2.73
410,2.73
411,2.73
422,2.73
436,2.73
444,2.73
469,2.73
484,2.73
485,2.73
488,2.73
504,2.73
516,2.73
547,2.73
548,2.73
558,2.73
563,2.73
635,2.73
677,0.87
681,0.87
690,0.87
Drops: Teana - B-POW, C-POW, D-POW, D-TEC, C-TEC, B-TEC (Original)
019,0.29
024,8.78
058,8.78
167,8.78
302,0.78
330,1.46
393,8.78
395,8.69
398,8.69
399,8.69
402,8.69
469,8.69
475,8.69
527,8.69
681,0.68
690,0.73
699,0.04
Drops: Jono - B-POW, C-POW, D-POW, D-TEC, C-TEC, B-TEC (Original)
016,3.12
020,0.29
050,2.14
104,2.14
105,2.14
122,2.14
130,2.14
135,2.14
137,2.14
152,2.14
154,2.14
174,2.14
182,2.14
185,2.14
191,2.14
197,2.14
202,2.14
207,2.14
210,2.14
214,2.14
237,2.14
242,2.14
245,2.14
268,2.14
301,0.78
302,0.78
333,1.75
343,0.78
410,2.14
420,2.14
422,2.14
436,2.14
444,2.14
485,2.14
486,2.14
488,2.14
492,2.14
501,2.14
516,2.14
524,2.14
549,2.14
558,2.14
563,2.14
579,2.14
588,0.09
589,2.14
598,2.14
611,2.14
651,1.66
677,0.87
681,0.87
690,0.87
Drops: Villaguer 1 - B-POW, C-POW, D-POW, D-TEC, C-TEC, B-TEC (Original)
009,3.71
020,0.29
024,3.71
058,3.71
123,3.71
167,3.71
192,3.71
289,3.71
307,0.87
323,0.87
332,1.70
338,1.70
339,1.70
345,0.87
350,1.70
387,3.71
393,3.71
395,3.66
397,3.66
398,3.66
399,3.66
402,3.66
411,3.66
469,3.66
475,3.66
484,3.66
504,3.51
527,3.51
547,3.51
548,3.51
558,3.51
635,3.66
655,0.87
681,0.87
690,0.87
